Currency,Exchange Rate
USD,1.0
AED,3.67
AFN,71.05
ALL,93.63
AMD,388.12
ANG,1.79
AOA,866.0
ARS,911.75
AUD,1.5
AWG,1.79
AZN,1.7
BAM,1.82
BBD,2.0
BDT,117.48
BGN,1.82
BHD,0.376
BIF,2866.0
BMD,1.0
BND,1.36
BOB,6.92
BRL,5.52
BSD,1.0
BTN,83.43
BWP,13.58
BYN,3.27
BZD,2.0
CAD,1.37
CDF,2834.32
CHF,0.899
CLP,948.84
CNY,7.28
COP,4155.95
CRC,525.64
CUP,24.0
CVE,102.79
CZK,23.37
DJF,177.72
DKK,6.95
DOP,59.07
DZD,134.74
EGP,48.04
ERN,15.0
ETB,57.73
EUR,0.932
FJD,2.23
FKP,0.791
FOK,6.95
GBP,0.791
GEL,2.8
GGP,0.791
GHS,15.3
GIP,0.791
GMD,68.0
GNF,8536.37
GTQ,7.77
GYD,209.15
HKD,7.81
HNL,24.75
HRK,7.02
HTG,132.41
HUF,368.01
IDR,16353.35
ILS,3.77
IMP,0.791
INR,83.42
IQD,1310.27
IRR,42059.7
ISK,139.08
JEP,0.791
JMD,155.93
JOD,0.709
JPY,160.95
KES,129.14
KGS,86.62
KHR,4089.9
KID,1.5
KMF,458.61
KRW,1379.61
KWD,0.307
KYD,0.833
KZT,473.07
LAK,22016.1
LBP,89500.0
LKR,305.76
LRD,194.46
LSL,18.08
LYD,4.87
MAD,9.97
MDL,17.92
MGA,4450.35
MKD,57.48
MMK,2099.6
MNT,3375.55
MOP,8.04
MRU,39.69
MUR,47.23
MVR,15.42
MWK,1735.08
MXN,18.3
MYR,4.72
MZN,63.57
NAD,18.08
NGN,1515.83
NIO,36.82
NOK,10.66
NPR,133.48
NZD,1.64
OMR,0.384
PAB,1.0
PEN,3.84
PGK,3.85
PHP,58.48
PKR,278.48
PLN,4.02
PYG,7509.83
QAR,3.64
RON,4.65
RSD,109.27
RUB,85.69
RWF,1310.66
SAR,3.75
SBD,8.52
SCR,13.86
SDG,458.52
SEK,10.58
SGD,1.36
SHP,0.791
SLE,22.56
SLL,22562.62
SOS,571.01
SRD,30.8
SSP,2000.22
STN,22.84
SYP,12886.29
SZL,18.08
THB,36.73
TJS,10.68
TMT,3.5
TND,3.15
TOP,2.33
TRY,32.81
TTD,6.78
TVD,1.5
TWD,32.5
TZS,2632.22
UAH,40.48
UGX,3697.17
UYU,39.39
UZS,12551.79
VES,36.45
VND,25403.86
VUV,119.82
WST,2.73
XAF,611.48
XCD,2.7
XDR,0.76
XOF,611.48
XPF,111.24
YER,250.2
ZAR,18.08
ZMW,24.1
ZWL,13.7
